"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation"
"861","Med","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice3",25.08,53.1900676357166,"Q >= newx1Med"
"862","Med","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"863","Med","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"864","Med","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"865","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",1.98,68.7201707600829,"Q >= newx1High"
"866","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice2",6.8,68.7203738140393,"Q >= newx1High"
"867","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice3",32.36,68.742043226543,"Q >= newx1High"
"868","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"869","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"870","High","Chub","Adult","Depth","L03-011","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"871","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",11.78,1.0145596473295,"Q >= min_limit & Q <= newx1Low"
"872","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice2",0.47,0.00588120645735675,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"873","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice3",10.72,0.109246217495644,"Q >= newx1Low"
"874","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"875","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice2",25.57,0.996114971983188,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"876","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"877","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",0.02,0.135162205842548,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"878","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice2",0.78,0.144422491659986,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"879","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice3",16.57,0.203852071041711,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"880","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",7.04,0.866726360427874,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"881","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice2",17.52,0.857469443998409,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"882","Med","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice3",49.96,0.79803609810439,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"883","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",0.16,0.264616613756085,"Q >= newx1High[1] & Q <= newx1High[2]"
"884","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice2",2.36,0.269501319124269,"Q >= newx1High[1] & Q <= newx1High[2]"
"885","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice3",19.23,0.302792534571129,"Q >= newx1High[1] & Q <= newx1High[2]"
"886","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",4.12,0.737271875507461,"Q >= newx1High[1] & Q <= newx1High[2]"
"887","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice2",12.4,0.732383211974919,"Q >= newx1High[1] & Q <= newx1High[2]"
"888","High","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice3",40.96,0.699004214933618,"Q >= newx1High[1] & Q <= newx1High[2]"
"889","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice1",7.7,37.6583820625345,"Q >= newx1Low"
"890","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",2.64,37.6583815796609,"Q >= newx1Low"
"891","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice3",5.9,37.6583823223308,"Q >= newx1Low"
"892","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"893","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"894","Low","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"895","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice1",13.72,53.1892758764737,"Q >= newx1Med"
"896","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",6.15,53.1892758330429,"Q >= newx1Med"
"897","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice3",11.11,53.1892761069115,"Q >= newx1Med"
"898","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"899","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"900","Med","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"901","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice1",21.81,68.7202710121835,"Q >= newx1High"
"902","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",11.48,68.7201919160723,"Q >= newx1High"
"903","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice3",18.38,68.7208006880196,"Q >= newx1High"
"904","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"905","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"906","High","Chub","Adult","Depth","L03-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"907","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice1",2.51,1.02597164063543,"Q >= min_limit & Q <= newx1Low"
"908","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",0.11,1.03371546655381,"Q >= min_limit & Q <= newx1Low"
"909","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice3",1.05,1.02597139567059,"Q >= min_limit & Q <= newx1Low"
"910","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"911","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"912","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"913","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice1",0.68,0.129693978423367,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"914","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",0.08,0.883067852155535,"Q >= min_limit & Q <= newx1Med"
"915","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice3",0.29,0.12969410118384,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"916","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice1",2.29,0.872194593137164,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"917","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Med"
"918","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice3",0.92,0.872194498885227,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"919","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice1",0.77,0.261772261568965,"Q >= newx1High[1] & Q <= newx1High[2]"
"920","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",0.06,0.756668716048778,"Q >= min_limit & Q <= newx1High"
"921","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice3",0.34,0.26177248394623,"Q >= newx1High[1] & Q <= newx1High[2]"
"922","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice1",1.82,0.740116043192357,"Q >= newx1High[1] & Q <= newx1High[2]"
"923","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1High"
"924","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice3",0.82,0.740116257483057,"Q >= newx1High[1] & Q <= newx1High[2]"
"925","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"926","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"927","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"928","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"929","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"930","Low","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"931","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"932","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"933","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"934","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"935","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"936","Med","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"937","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"938","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"939","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"940","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"941","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q < 0"
"942","High","Chub","Adult","Depth","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q < 0"
"943","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice1",0.93,1.01386829279156,"Q >= min_limit & Q <= newx1Low"
"944","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice2",0.28,0.055228281121659,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"945","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.23,1.02614819416661,"Q >= min_limit & Q <= newx1Low"
"946","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= newx1Low"
"947","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice2",1.26,0.950337865329583,"Q >= newx1Low[1] & Q <= newx1Low[2]"
"948","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"949","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice1",0.19,0.135498723392852,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"950","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice2",0.52,0.171210590326244,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"951","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.16,0.872496256072674,"Q >= min_limit & Q <= newx1Med"
"952","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice1",0.76,0.866389875852472,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"953","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice2",1.11,0.83067799031801,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"954","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Med"
"955","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice1",0.23,0.264792649790476,"Q >= newx1High[1] & Q <= newx1High[2]"
"956","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice2",0.69,0.284102103804489,"Q >= newx1High[1] & Q <= newx1High[2]"
"957","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.05,0.740611158351021,"Q >= newx1High[1] & Q <= newx1High[2]"
"958","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice1",0.64,0.737095802157538,"Q >= newx1High[1] & Q <= newx1High[2]"
"959","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice2",0.99,0.717790289350852,"Q >= newx1High[1] & Q <= newx1High[2]"
"960","High","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.12,0.740611158351021,"Q >= newx1High[1] & Q <= newx1High[2]"
"961","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice1",5.9,37.6581558066954,"Q >= newx1Low"
"962","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.9,37.6583810397916,"Q >= newx1Low"
"963","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice3",8.65,37.6572280211298,"Q >= newx1Low"
"964","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"965","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"966","Low","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"967","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice1",9.77,53.189273231566,"Q >= newx1Med"
"968","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",2.13,53.1892758329816,"Q >= newx1Med"
"969","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice3",13.7,53.1892922762451,"Q >= newx1Med"
"970","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"971","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"972","Med","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"973","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice1",15.23,68.7212661497132,"Q >= newx1High"
"974","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",4.28,68.7201922976991,"Q >= newx1High"
"975","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice3",20.32,68.7321578689712,"Q >= newx1High"
"976","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"977","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"978","High","Chub","Adult","Depth","L04-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"979","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice1",8.45,1.0259732351724,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"980","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",1.39,1.02597129080389,"Q >= min_limit & Q <= newx1Low"
"981","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice3",13.16,1.02383119830303,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"982","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice1",11.15,1.0259732351724,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"983","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"984","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice3",16.65,1.02383119830303,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"985","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice1",1.25,0.129693848967345,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"986","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.69,0.872194466338603,"Q <= newx1Med[1] & Q >= newx1Med[2]"
"987","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice3",2.07,0.130714302503736,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"988","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice1",7.2,0.872194439612107,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"989","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.86,0.872194466338603,"Q <= newx1Med[1] & Q >= newx1Med[2]"
"990","Med","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice3",11.22,0.871176103872548,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"991","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice1",1.55,0.26177236493724,"Q >= newx1High[1] & Q <= newx1High[2]"
"992","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.02,0.26177227580717,"Q >= newx1High[1] & Q <= newx1High[2]"
"993","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice3",2.36,0.262301155636608,"Q >= newx1High[1] & Q <= newx1High[2]"
"994","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice1",3.98,0.740116199781865,"Q >= newx1High[1] & Q <= newx1High[2]"
"995","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",0.5,0.740116263424695,"Q >= newx1High[1] & Q <= newx1High[2]"
"996","High","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice3",9.9,0.739588643057124,"Q >= newx1High[1] & Q <= newx1High[2]"
"997","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice1",5.97,37.6583433887692,"Q >= newx1Low"
"998","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.85,37.658382270634,"Q >= newx1Low"
"999","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice3",2.08,37.6583817503807,"Q >= newx1Low"
"1000","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"1001","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"1002","Low","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"1003","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice1",8.36,53.1892758922157,"Q >= newx1Med"
"1004","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",1.85,53.1892758330095,"Q >= newx1Med"
"1005","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice3",3.62,53.1892758330145,"Q >= newx1Med"
"1006","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Med"
"1007","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"1008","Med","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"1009","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice1",11.12,68.7205898506748,"Q >= newx1High"
"1010","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",3.31,68.7201716276921,"Q >= newx1High"
"1011","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice3",5.54,68.7201711621902,"Q >= newx1High"
"1012","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1High"
"1013","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1High"
"1014","High","Chub","Adult","Depth","L05-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1High"
"1015","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice1",5.49,1.0259739268093,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"1016","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.53,1.02597131711772,"Q >= min_limit & Q <= newx1Low"
"1017","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice3",2.19,1.02597342119232,"Q >= min_limit & Q <= newx1Low"
"1018","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice1",12.94,1.0259739268093,"Q <= newx1Low[1] & Q >= newx1Low[2]"
"1019","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Low"
"1020","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= newx1Low"
"1021","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice1",1.92,0.129693687390876,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"1022","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.35,0.872194489184003,"Q >= min_limit & Q <= newx1Med"
"1023","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice3",0.18,0.129694063108984,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"1024","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice1",4.54,0.872196326651735,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"1025","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1Med"
"1026","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice3",1.76,0.87219461567433,"Q >= newx1Med[1] & Q <= newx1Med[2]"
"1027","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice1",2.16,0.261774913567392,"Q >= newx1High[1] & Q <= newx1High[2]"
"1028","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.23,0.740116256234989,"Q >= min_limit & Q <= newx1High"
"1029","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice3",0.23,0.261772289705917,"Q >= newx1High[1] & Q <= newx1High[2]"
"1030","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice1",3.84,0.740116214257858,"Q >= newx1High[1] & Q <= newx1High[2]"
"1031","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= newx1High"
"1032","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice3",1.46,0.740115968479714,"Q >= newx1High[1] & Q <= newx1High[2]"
"1033","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice1",23.51,36.9337351208749,"Q >= newx1Low"
"1034","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice2",6.01,37.6577398571981,"Q >= newx1Low"
"1035","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",1.44,37.6583822253199,"Q >= newx1Low"
"1036","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice4",4.22,37.6582858183681,"Q >= newx1Low"
"1037","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= newx1Low"
"1038","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Low"
"1039","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Low"
"1040","Low","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Low"
"1041","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"1042","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice2",10.48,53.1892736238011,"Q >= newx1Med"
"1043","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",4.09,53.189275873714,"Q >= newx1Med"
"1044","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice4",8.14,53.1892754280643,"Q >= newx1Med"
"1045","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"1046","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= newx1Med"
"1047","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= newx1Med"
"1048","Med","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= newx1Med"
"1049","High","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q < 0"
"1050","High","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice2",16.48,68.7454814374254,"Q >= newx1High"
"1051","High","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice3",7.97,68.7212130123378,"Q >= newx1High"
"1052","High","Chub","Adult","Depth","L05-020","210422_San_Juan_Existing_Conditions","slice4",13.28,68.7213078078101,"Q >= newx1High"
