"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Scenario","Position","QTarget","HTarget","Calculation","code","LimitBound","Flag"
"336","High","Chub","Adult","Velocity","J01-031","201105_Aliso_Recalibration_Update","slice2",0.01,0.261772234354737,"Q >= limit[1] & Q <= limit[2]","J01-031_slice2","Lower","N"
"337","High","Chub","Adult","Velocity","J01-031","201105_Aliso_Recalibration_Update","slice2",0.35,0.740116304112083,"Q >= limit[1] & Q <= limit[2]","J01-031_slice2","Upper","N"
"338","High","Chub","Adult","Velocity","J01-040","201105_Aliso_Recalibration_Update","slice4",0.07,0.261772275348873,"Q >= limit[1] & Q <= limit[2]","J01-040_slice4","Lower","N"
"339","High","Chub","Adult","Velocity","J01-040","201105_Aliso_Recalibration_Update","slice4",3.23,0.740116264551993,"Q >= limit[1] & Q <= limit[2]","J01-040_slice4","Upper","N"
"340","High","Chub","Adult","Velocity","J01-041","201105_Aliso_Recalibration_Update","slice2",0.04,0.261772275209831,"Q >= limit[1] & Q <= limit[2]","J01-041_slice2","Lower","N"
"341","High","Chub","Adult","Velocity","J01-041","201105_Aliso_Recalibration_Update","slice2",1,0.740116257554617,"Q >= limit[1] & Q <= limit[2]","J01-041_slice2","Upper","N"
"342","Med","Chub","Adult","Velocity","J01-061","201105_Aliso_Recalibration_Update","slice2",0.02,0.12969409709678,"Q >= limit[1] & Q <= limit[2]","J01-061_slice2","Lower","N"
"343","Med","Chub","Adult","Velocity","J01-061","201105_Aliso_Recalibration_Update","slice2",1.87,0.872194600602122,"Q >= limit[1] & Q <= limit[2]","J01-061_slice2","Upper","N"
"344","High","Chub","Adult","Velocity","J01-061","201105_Aliso_Recalibration_Update","slice2",0.08,0.261772280357283,"Q >= limit[1] & Q <= limit[2]","J01-061_slice2","Lower","N"
"345","High","Chub","Adult","Velocity","J01-061","201105_Aliso_Recalibration_Update","slice2",1.26,0.740116271394811,"Q >= limit[1] & Q <= limit[2]","J01-061_slice2","Upper","N"
"346","Med","Chub","Adult","Velocity","J01-090","201105_Aliso_Recalibration_Update","slice2",0.01,0.129694102362666,"Q >= limit[1] & Q <= limit[2]","J01-090_slice2","Lower","N"
"347","Med","Chub","Adult","Velocity","J01-090","201105_Aliso_Recalibration_Update","slice2",0.47,0.872194445010506,"Q >= limit[1] & Q <= limit[2]","J01-090_slice2","Upper","N"
"348","High","Chub","Adult","Velocity","J01-090","201105_Aliso_Recalibration_Update","slice2",0.02,0.261772275790701,"Q >= limit[1] & Q <= limit[2]","J01-090_slice2","Lower","N"
"349","High","Chub","Adult","Velocity","J01-090","201105_Aliso_Recalibration_Update","slice2",0.29,0.740116261849832,"Q >= limit[1] & Q <= limit[2]","J01-090_slice2","Upper","N"
"350","Med","Chub","Adult","Velocity","J01-091","201105_Aliso_Recalibration_Update","slice2",0,0.12969410236517,"Q >= limit[1] & Q <= limit[2]","J01-091_slice2","Lower","N"
"351","Med","Chub","Adult","Velocity","J01-091","201105_Aliso_Recalibration_Update","slice2",0.32,0.872194466102697,"Q >= limit[1] & Q <= limit[2]","J01-091_slice2","Upper","N"
"352","High","Chub","Adult","Velocity","J01-091","201105_Aliso_Recalibration_Update","slice2",0,0.261772275797953,"Q >= limit[1] & Q <= limit[2]","J01-091_slice2","Lower","N"
"353","High","Chub","Adult","Velocity","J01-091","201105_Aliso_Recalibration_Update","slice2",0.19,0.740116262572774,"Q >= limit[1] & Q <= limit[2]","J01-091_slice2","Upper","N"
"354","Med","Chub","Adult","Velocity","J01-100","201105_Aliso_Recalibration_Update","slice2",0.04,0.124439213038861,"Q >= limit[1] & Q <= limit[2]","J01-100_slice2","Lower","N"
"355","Med","Chub","Adult","Velocity","J01-100","201105_Aliso_Recalibration_Update","slice2",0.31,0.872194443538511,"Q >= limit[1] & Q <= limit[2]","J01-100_slice2","Upper","N"
"356","High","Chub","Adult","Velocity","J01-100","201105_Aliso_Recalibration_Update","slice2",0.04,0.267853729442079,"Q >= limit[1] & Q <= limit[2]","J01-100_slice2","Lower","N"
"357","High","Chub","Adult","Velocity","J01-100","201105_Aliso_Recalibration_Update","slice2",0.22,0.74011626290994,"Q >= limit[1] & Q <= limit[2]","J01-100_slice2","Upper","N"
"358","High","Chub","Adult","Velocity","J03-010","201105_Aliso_Recalibration_Update","slice2",0.03,0.261772275660575,"Q >= limit[1] & Q <= limit[2]","J03-010_slice2","Lower","N"
"359","High","Chub","Adult","Velocity","J03-010","201105_Aliso_Recalibration_Update","slice2",0.54,0.740116258309202,"Q >= limit[1] & Q <= limit[2]","J03-010_slice2","Upper","N"
"360","High","Chub","Adult","Velocity","J04-010","201105_Aliso_Recalibration_Update","slice3",0.09,0.261772257486156,"Q >= limit[1] & Q <= limit[2]","J04-010_slice3","Lower","N"
"361","High","Chub","Adult","Velocity","J04-010","201105_Aliso_Recalibration_Update","slice3",3.63,0.740116280392394,"Q >= limit[1] & Q <= limit[2]","J04-010_slice3","Upper","N"
"362","High","Chub","Adult","Velocity","J05-010","201105_Aliso_Recalibration_Update","slice1",0.02,0.261772273040838,"Q >= limit[1] & Q <= limit[2]","J05-010_slice1","Lower","N"
"363","High","Chub","Adult","Velocity","J05-010","201105_Aliso_Recalibration_Update","slice1",0.67,0.740116259133295,"Q >= limit[1] & Q <= limit[2]","J05-010_slice1","Upper","N"
"364","High","Chub","Adult","Velocity","J07-010","201105_Aliso_Recalibration_Update","slice1",0.02,0.261772275805445,"Q >= limit[1] & Q <= limit[2]","J07-010_slice1","Lower","N"
"365","High","Chub","Adult","Velocity","J07-010","201105_Aliso_Recalibration_Update","slice1",0.59,0.740116235618733,"Q >= limit[1] & Q <= limit[2]","J07-010_slice1","Upper","N"
"366","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.3,1.02597132523339,"Q >= min_limit & Q <= limit","I01-012_slice2","Upper","With Min Limit"
"367","Low","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","I01-012_slice2","Upper","With Min Limit"
"368","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.2,0.872194434966717,"Q >= min_limit & Q <= limit","I01-012_slice2","Upper","With Min Limit"
"369","Med","Chub","Adult","Velocity","I01-012","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","I01-012_slice2","Upper","With Min Limit"
"370","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.26,1.02594312233242,"Q >= min_limit & Q <= limit","I01-020_slice2","Upper","With Min Limit"
"371","Low","Chub","Adult","Velocity","I01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","I01-020_slice2","Upper","With Min Limit"
"372","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.91,1.02597132897886,"Q >= min_limit & Q <= limit","K01-010_slice3","Upper","With Min Limit"
"373","Low","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","K01-010_slice3","Upper","With Min Limit"
"374","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.54,0.872194440949749,"Q >= min_limit & Q <= limit","K01-010_slice3","Upper","With Min Limit"
"375","Med","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","K01-010_slice3","Upper","With Min Limit"
"376","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",0.23,0.740116234842424,"Q >= min_limit & Q <= limit","K01-010_slice3","Upper","With Min Limit"
"377","High","Chub","Adult","Velocity","K01-010","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","K01-010_slice3","Upper","With Min Limit"
"378","Low","Chub","Adult","Velocity","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",5.99,1.02598958624337,"Q >= min_limit & Q <= limit","K01-020_slice2","Upper","With Min Limit"
"379","Low","Chub","Adult","Velocity","K01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","K01-020_slice2","Upper","With Min Limit"
"380","Low","Chub","Adult","Velocity","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.81,1.02597130226354,"Q >= min_limit & Q <= limit","K01-030_slice2","Upper","With Min Limit"
"381","Low","Chub","Adult","Velocity","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","K01-030_slice2","Upper","With Min Limit"
"382","Med","Chub","Adult","Velocity","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.47,0.872194505537325,"Q >= min_limit & Q <= limit","K01-030_slice2","Upper","With Min Limit"
"383","Med","Chub","Adult","Velocity","K01-030","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","K01-030_slice2","Upper","With Min Limit"
"384","Low","Chub","Adult","Velocity","L01-080","210422_San_Juan_Existing_Conditions","slice3",0.18,1.02597145078731,"Q >= min_limit & Q <= limit","L01-080_slice3","Upper","With Min Limit"
"385","Low","Chub","Adult","Velocity","L01-080","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L01-080_slice3","Upper","With Min Limit"
"386","Med","Chub","Adult","Velocity","L01-080","210422_San_Juan_Existing_Conditions","slice3",0.09,0.872194434126559,"Q >= min_limit & Q <= limit","L01-080_slice3","Upper","With Min Limit"
"387","Med","Chub","Adult","Velocity","L01-080","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L01-080_slice3","Upper","With Min Limit"
"388","High","Chub","Adult","Velocity","L01-080","210422_San_Juan_Existing_Conditions","slice3",0.07,0.740116264029822,"Q >= min_limit & Q <= limit","L01-080_slice3","Upper","With Min Limit"
"389","High","Chub","Adult","Velocity","L01-080","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L01-080_slice3","Upper","With Min Limit"
"390","Low","Chub","Adult","Velocity","L01-100","210422_San_Juan_Existing_Conditions","slice3",0.12,1.02597128864333,"Q >= min_limit & Q <= limit","L01-100_slice3","Upper","With Min Limit"
"391","Low","Chub","Adult","Velocity","L01-100","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L01-100_slice3","Upper","With Min Limit"
"392","Low","Chub","Adult","Velocity","L02-010","210422_San_Juan_Existing_Conditions","slice2",0.79,1.02597129551561,"Q >= min_limit & Q <= limit","L02-010_slice2","Upper","With Min Limit"
"393","Low","Chub","Adult","Velocity","L02-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-010_slice2","Upper","With Min Limit"
"394","Low","Chub","Adult","Velocity","L02-020","210422_San_Juan_Existing_Conditions","slice1",1.34,1.02597129162021,"Q >= min_limit & Q <= limit","L02-020_slice1","Upper","With Min Limit"
"395","Low","Chub","Adult","Velocity","L02-020","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= limit","L02-020_slice1","Upper","With Min Limit"
"396","Low","Chub","Adult","Velocity","L02-021","210422_San_Juan_Existing_Conditions","slice3",0.91,1.02597129765306,"Q >= min_limit & Q <= limit","L02-021_slice3","Upper","With Min Limit"
"397","Low","Chub","Adult","Velocity","L02-021","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L02-021_slice3","Upper","With Min Limit"
"398","Med","Chub","Adult","Velocity","L02-021","210422_San_Juan_Existing_Conditions","slice3",0.65,0.872194434908387,"Q >= min_limit & Q <= limit","L02-021_slice3","Upper","With Min Limit"
"399","Med","Chub","Adult","Velocity","L02-021","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L02-021_slice3","Upper","With Min Limit"
"400","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",16.41,1.02564976363547,"Q >= min_limit & Q <= limit","L02-022_slice2","Upper","With Min Limit"
"401","Low","Chub","Adult","Velocity","L02-022","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-022_slice2","Upper","With Min Limit"
"402","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",0.81,1.02597129476604,"Q >= min_limit & Q <= limit","L02-023_slice4","Upper","With Min Limit"
"403","Low","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= limit","L02-023_slice4","Upper","With Min Limit"
"404","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",0.56,0.872194434415558,"Q >= min_limit & Q <= limit","L02-023_slice4","Upper","With Min Limit"
"405","Med","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= limit","L02-023_slice4","Upper","With Min Limit"
"406","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",0.39,0.740116264046733,"Q >= min_limit & Q <= limit","L02-023_slice4","Upper","With Min Limit"
"407","High","Chub","Adult","Velocity","L02-023","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= limit","L02-023_slice4","Upper","With Min Limit"
"408","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",0.64,1.0259713122493,"Q >= min_limit & Q <= limit","L02-030_slice2","Upper","With Min Limit"
"409","Low","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-030_slice2","Upper","With Min Limit"
"410","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",0.37,0.87219443347951,"Q >= min_limit & Q <= limit","L02-030_slice2","Upper","With Min Limit"
"411","Med","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-030_slice2","Upper","With Min Limit"
"412","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",0.21,0.740116263999339,"Q >= min_limit & Q <= limit","L02-030_slice2","Upper","With Min Limit"
"413","High","Chub","Adult","Velocity","L02-030","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-030_slice2","Upper","With Min Limit"
"414","High","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",0.29,0.740116263884189,"Q >= min_limit & Q <= limit","L02-031_slice4","Upper","With Min Limit"
"415","High","Chub","Adult","Velocity","L02-031","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= limit","L02-031_slice4","Upper","With Min Limit"
"416","Med","Chub","Adult","Velocity","L02-040","210422_San_Juan_Existing_Conditions","slice4",0.24,0.874299502595335,"Q >= min_limit & Q <= limit","L02-040_slice4","Upper","With Min Limit"
"417","Med","Chub","Adult","Velocity","L02-040","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= limit","L02-040_slice4","Upper","With Min Limit"
"418","High","Chub","Adult","Velocity","L02-040","210422_San_Juan_Existing_Conditions","slice4",0.14,0.743370929161311,"Q >= min_limit & Q <= limit","L02-040_slice4","Upper","With Min Limit"
"419","High","Chub","Adult","Velocity","L02-040","210422_San_Juan_Existing_Conditions","slice4",NA,NA,"Q >= min_limit & Q <= limit","L02-040_slice4","Upper","With Min Limit"
"420","Low","Chub","Adult","Velocity","L02-041","210422_San_Juan_Existing_Conditions","slice2",6.78,1.02597130970828,"Q >= min_limit & Q <= limit","L02-041_slice2","Upper","With Min Limit"
"421","Low","Chub","Adult","Velocity","L02-041","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-041_slice2","Upper","With Min Limit"
"422","Med","Chub","Adult","Velocity","L02-041","210422_San_Juan_Existing_Conditions","slice2",3.26,0.872194436281545,"Q >= min_limit & Q <= limit","L02-041_slice2","Upper","With Min Limit"
"423","Med","Chub","Adult","Velocity","L02-041","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-041_slice2","Upper","With Min Limit"
"424","High","Chub","Adult","Velocity","L02-041","210422_San_Juan_Existing_Conditions","slice2",2.38,0.740116055504934,"Q >= min_limit & Q <= limit","L02-041_slice2","Upper","With Min Limit"
"425","High","Chub","Adult","Velocity","L02-041","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-041_slice2","Upper","With Min Limit"
"426","Low","Chub","Adult","Velocity","L02-050","210422_San_Juan_Existing_Conditions","slice2",0.47,1.0259713418782,"Q >= min_limit & Q <= limit","L02-050_slice2","Upper","With Min Limit"
"427","Low","Chub","Adult","Velocity","L02-050","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-050_slice2","Upper","With Min Limit"
"428","Med","Chub","Adult","Velocity","L02-050","210422_San_Juan_Existing_Conditions","slice2",0.32,0.872194458229522,"Q >= min_limit & Q <= limit","L02-050_slice2","Upper","With Min Limit"
"429","Med","Chub","Adult","Velocity","L02-050","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-050_slice2","Upper","With Min Limit"
"430","Low","Chub","Adult","Velocity","L02-051","210422_San_Juan_Existing_Conditions","slice2",0.45,1.02597132098892,"Q >= min_limit & Q <= limit","L02-051_slice2","Upper","With Min Limit"
"431","Low","Chub","Adult","Velocity","L02-051","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-051_slice2","Upper","With Min Limit"
"432","Med","Chub","Adult","Velocity","L02-051","210422_San_Juan_Existing_Conditions","slice2",0.3,0.872194444150853,"Q >= min_limit & Q <= limit","L02-051_slice2","Upper","With Min Limit"
"433","Med","Chub","Adult","Velocity","L02-051","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L02-051_slice2","Upper","With Min Limit"
"434","Low","Chub","Adult","Velocity","L03-010","210422_San_Juan_Existing_Conditions","slice2",2.54,1.02597226781067,"Q >= min_limit & Q <= limit","L03-010_slice2","Upper","With Min Limit"
"435","Low","Chub","Adult","Velocity","L03-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L03-010_slice2","Upper","With Min Limit"
"436","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",11.78,1.0145596473295,"Q >= min_limit & Q <= limit","L03-011_slice1","Upper","With Min Limit"
"437","Low","Chub","Adult","Velocity","L03-011","210422_San_Juan_Existing_Conditions","slice1",NA,NA,"Q >= min_limit & Q <= limit","L03-011_slice1","Upper","With Min Limit"
"438","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",0.11,1.03371546655381,"Q >= min_limit & Q <= limit","L03-020_slice2","Upper","With Min Limit"
"439","Low","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L03-020_slice2","Upper","With Min Limit"
"440","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",0.08,0.883067852155535,"Q >= min_limit & Q <= limit","L03-020_slice2","Upper","With Min Limit"
"441","Med","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L03-020_slice2","Upper","With Min Limit"
"442","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",0.06,0.756668716048778,"Q >= min_limit & Q <= limit","L03-020_slice2","Upper","With Min Limit"
"443","High","Chub","Adult","Velocity","L03-020","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L03-020_slice2","Upper","With Min Limit"
"444","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.23,1.02614819416661,"Q >= min_limit & Q <= limit","L03-030_slice3","Upper","With Min Limit"
"445","Low","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L03-030_slice3","Upper","With Min Limit"
"446","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",0.16,0.872496256072674,"Q >= min_limit & Q <= limit","L03-030_slice3","Upper","With Min Limit"
"447","Med","Chub","Adult","Velocity","L03-030","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L03-030_slice3","Upper","With Min Limit"
"448","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",1.39,1.02597129080389,"Q >= min_limit & Q <= limit","L04-010_slice2","Upper","With Min Limit"
"449","Low","Chub","Adult","Velocity","L04-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L04-010_slice2","Upper","With Min Limit"
"450","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.53,1.02597131711772,"Q >= min_limit & Q <= limit","L05-010_slice2","Upper","With Min Limit"
"451","Low","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L05-010_slice2","Upper","With Min Limit"
"452","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.35,0.872194489184003,"Q >= min_limit & Q <= limit","L05-010_slice2","Upper","With Min Limit"
"453","Med","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L05-010_slice2","Upper","With Min Limit"
"454","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",0.23,0.740116256234989,"Q >= min_limit & Q <= limit","L05-010_slice2","Upper","With Min Limit"
"455","High","Chub","Adult","Velocity","L05-010","210422_San_Juan_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","L05-010_slice2","Upper","With Min Limit"
"456","Low","Chub","Adult","Velocity","L05-020","210422_San_Juan_Existing_Conditions","slice3",0.67,1.02597129488616,"Q >= min_limit & Q <= limit","L05-020_slice3","Upper","With Min Limit"
"457","Low","Chub","Adult","Velocity","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L05-020_slice3","Upper","With Min Limit"
"458","Med","Chub","Adult","Velocity","L05-020","210422_San_Juan_Existing_Conditions","slice3",0.41,0.87219443422045,"Q >= min_limit & Q <= limit","L05-020_slice3","Upper","With Min Limit"
"459","Med","Chub","Adult","Velocity","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L05-020_slice3","Upper","With Min Limit"
"460","High","Chub","Adult","Velocity","L05-020","210422_San_Juan_Existing_Conditions","slice3",0.16,0.740116264022261,"Q >= min_limit & Q <= limit","L05-020_slice3","Upper","With Min Limit"
"461","High","Chub","Adult","Velocity","L05-020","210422_San_Juan_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","L05-020_slice3","Upper","With Min Limit"
"462","Low","Chub","Adult","Velocity","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",1.26,1.02597129575277,"Q >= min_limit & Q <= limit","M01-011_slice2","Upper","With Min Limit"
"463","Low","Chub","Adult","Velocity","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M01-011_slice2","Upper","With Min Limit"
"464","Med","Chub","Adult","Velocity","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.79,0.872194436522737,"Q >= min_limit & Q <= limit","M01-011_slice2","Upper","With Min Limit"
"465","Med","Chub","Adult","Velocity","M01-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M01-011_slice2","Upper","With Min Limit"
"466","Low","Chub","Adult","Velocity","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.36,1.02597130987706,"Q >= min_limit & Q <= limit","M01-020_slice2","Upper","With Min Limit"
"467","Low","Chub","Adult","Velocity","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M01-020_slice2","Upper","With Min Limit"
"468","High","Chub","Adult","Velocity","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.12,0.740116263139523,"Q >= min_limit & Q <= limit","M01-020_slice2","Upper","With Min Limit"
"469","High","Chub","Adult","Velocity","M01-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M01-020_slice2","Upper","With Min Limit"
"470","Low","Chub","Adult","Velocity","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.73,1.02597132119725,"Q >= min_limit & Q <= limit","M02-011_slice3","Upper","With Min Limit"
"471","Low","Chub","Adult","Velocity","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","M02-011_slice3","Upper","With Min Limit"
"472","Med","Chub","Adult","Velocity","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",1.1,0.872194578417546,"Q >= min_limit & Q <= limit","M02-011_slice3","Upper","With Min Limit"
"473","Med","Chub","Adult","Velocity","M02-011","201118_Oso,_Small_Creeks_Existing_Conditions","slice3",NA,NA,"Q >= min_limit & Q <= limit","M02-011_slice3","Upper","With Min Limit"
"474","Low","Chub","Adult","Velocity","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.61,1.02597137285225,"Q >= min_limit & Q <= limit","M02-020_slice2","Upper","With Min Limit"
"475","Low","Chub","Adult","Velocity","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M02-020_slice2","Upper","With Min Limit"
"476","Med","Chub","Adult","Velocity","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.44,0.872194434799171,"Q >= min_limit & Q <= limit","M02-020_slice2","Upper","With Min Limit"
"477","Med","Chub","Adult","Velocity","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M02-020_slice2","Upper","With Min Limit"
"478","High","Chub","Adult","Velocity","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",0.34,0.740116257712435,"Q >= min_limit & Q <= limit","M02-020_slice2","Upper","With Min Limit"
"479","High","Chub","Adult","Velocity","M02-020","201118_Oso,_Small_Creeks_Existing_Conditions","slice2",NA,NA,"Q >= min_limit & Q <= limit","M02-020_slice2","Upper","With Min Limit"
"480","Low","Chub","Adult","Velocity","J01-010","201105_Aliso_Recalibration_Update","slice2",34.38,0.91907234226991,"Q >= min_limit & Q <= limit","J01-010_slice2","Upper","With Min Limit"
"481","Low","Chub","Adult","Velocity","J01-010","201105_Aliso_Recalibration_Update","slice2",NA,NA,"Q >= min_limit & Q <= limit","J01-010_slice2","Upper","With Min Limit"
"482","Low","Chub","Adult","Velocity","J01-020","201105_Aliso_Recalibration_Update","slice3",1.29,1.02597129135121,"Q >= min_limit & Q <= limit","J01-020_slice3","Upper","With Min Limit"
